adam预测值,adam真实值
14.59184741973877,14.083333015441895
27.69219398498535,20.0
14.59184741973877,10.0
14.59184741973877,21.0
16.426496505737305,11.0
36.321632385253906,25.0
34.64086151123047,25.0
43.595420837402344,20.0
45.14451599121094,75.0
37.176971435546875,21.0
22.637054443359375,20.0
21.080257415771484,18.0
14.59184741973877,12.0
34.8825798034668,50.0
50.807395935058594,46.66666793823242
17.13084602355957,25.66666603088379
42.12297821044922,50.0
24.619564056396484,15.0
28.887174606323242,13.75
14.59184741973877,12.0
17.823915481567383,23.0
31.370391845703125,18.0
18.803489685058594,13.0
21.192913055419922,20.0
14.59184741973877,11.0
40.151336669921875,53.33333206176758
25.749696731567383,50.0
14.59184741973877,12.0
43.357723236083984,27.08333396911621
27.046924591064453,13.0
24.90716552734375,17.0
14.59184741973877,15.0
18.418384552001953,40.0
20.35894775390625,22.0
23.969594955444336,19.5
14.59184741973877,17.5
14.59184741973877,14.0
33.471073150634766,20.0
33.123287200927734,40.0
21.270244598388672,18.0
14.59184741973877,20.0
33.47965621948242,13.0
14.59184741973877,12.0
36.66802978515625,56.66666793823242
17.25014305114746,30.0
14.59184741973877,13.0
14.59184741973877,12.833333015441895
14.59184741973877,15.0
35.4749870300293,50.0
17.487430572509766,23.33333396911621
23.521333694458008,20.0
14.59184741973877,12.0
14.59184741973877,10.0
18.93097686767578,16.33333396911621
33.39586639404297,27.08333396911621
27.853801727294922,32.5
14.59184741973877,10.0
14.59184741973877,18.0
32.113468170166016,13.0
31.322750091552734,35.0
33.439491271972656,30.0
35.63685607910156,20.0
8.502124786376953,10.0
14.59184741973877,7.0
32.99521255493164,21.66666603088379
22.563098907470703,16.0
38.20647048950195,29.16666603088379
14.59184741973877,21.66666603088379
20.854206085205078,20.0
14.59184741973877,13.0
23.452594757080078,17.33333396911621
16.025514602661133,13.0
39.62650680541992,20.0
14.59184741973877,20.0
17.40271759033203,20.0
38.80995178222656,32.5
23.932388305664062,16.0
37.901939392089844,21.25
14.59184741973877,10.0
23.087011337280273,15.0
14.59184741973877,13.0
17.908960342407227,14.0
14.59184741973877,18.0
21.999832153320312,26.0
19.625125885009766,16.33333396911621
32.50656509399414,20.0
14.59184741973877,12.0
14.821261405944824,15.0
28.27389907836914,18.41666603088379
22.151723861694336,17.0
14.59184741973877,10.0
23.63108253479004,17.5
26.499378204345703,40.0
54.385215759277344,62.5
23.091894149780273,18.0
37.83543395996094,21.66666603088379
24.528024673461914,25.66666603088379
30.92877960205078,25.0
48.52376174926758,45.0
32.781463623046875,17.33333396911621
41.63383483886719,50.0
14.59184741973877,15.0
22.683029174804688,21.66666603088379
14.59184741973877,13.0
37.7293586730957,53.33333206176758
19.026351928710938,12.0
41.592681884765625,30.0
45.42271423339844,66.66666412353516
18.8157901763916,16.33333396911621
20.87916374206543,15.0
48.397071838378906,75.0
27.463741302490234,10.833333015441895
24.014266967773438,24.0
14.656847953796387,12.0
49.59013748168945,27.08333396911621
25.009117126464844,19.5
23.126413345336914,28.0
24.109067916870117,21.66666603088379
49.607505798339844,55.0
21.89895248413086,23.0
27.904163360595703,20.0
12.59170150756836,15.166666984558105
38.12712478637695,35.0
29.80600357055664,15.0
30.10793113708496,38.66666793823242
29.153118133544922,26.0
35.844200134277344,24.0
40.64491653442383,32.5
20.51114273071289,22.0
14.59184741973877,21.66666603088379
41.19691848754883,20.0
34.79304504394531,24.0
14.59184741973877,16.25
54.17546844482422,70.0
40.29484176635742,20.0
19.431591033935547,20.0
14.59184741973877,28.0
27.896623611450195,33.33333206176758
14.59184741973877,15.0
