xgb预测值,xgb真实值
14.805426,11.0
20.582079,53.33333333333334
14.177918,40.0
14.227514,15.0
22.87901,35.0
20.72241,30.0
24.64335,20.0
20.72241,25.0
59.065014,37.5
33.32559,40.0
23.89019,12.0
42.10182,14.0
14.432734,12.0
20.052774,33.833333333333336
18.74837,30.0
23.33376,30.0
12.5042095,14.083333333333336
10.281941,12.0
18.65766,11.916666666666664
15.862817,25.0
12.223944,16.25
42.177963,75.0
18.157562,20.0
12.28303,15.0
11.3249035,7.583333333333332
32.037464,20.0
18.76239,21.66666666666667
14.500282,13.0
16.619064,33.333333333333336
16.858723,26.0
16.858723,16.25
26.194246,7.583333333333332
22.126625,30.0
9.394655,11.0
20.401161,35.0
21.873497,46.66666666666666
22.6828,35.0
9.266724,6.0
23.613789,22.0
33.96361,40.0
22.591927,31.25
10.992983,18.666666666666668
14.500282,13.0
26.190176,25.0
17.373705,20.0
19.53828,18.0
15.936025,15.0
13.019776,11.666666666666664
12.88929,13.75
16.035995,21.66666666666667
27.397995,15.0
17.238834,20.0
12.25558,9.0
25.677435,29.16666666666667
14.177918,30.0
13.825226,20.0
22.512442,40.0
15.32671,15.166666666666664
15.505843,15.0
38.83732,25.0
26.359976,22.0
10.81139,9.75
32.037464,93.33333333333331
15.015837,15.0
20.401161,13.0
20.639069,37.5
27.080547,24.0
39.86557,50.0
24.64335,50.0
19.65069,20.0
10.754384,10.0
9.590885,18.0
10.648019,10.0
15.936025,12.0
16.609968,24.0
14.177918,26.66666666666667
27.272263,23.83333333333333
17.373705,20.0
13.304736,13.0
26.190289,43.75
16.043602,16.25
10.380929,10.0
15.4210415,18.0
11.3249035,16.0
8.057999,14.0
15.637455,13.0
13.311486,20.0
27.863297,35.0
8.057999,8.0
24.475405,26.0
18.363028,20.0
19.732363,25.0
10.754384,13.0
15.056376,16.25
28.646582,25.0
11.986599,8.0
28.025415,20.0
15.4210415,13.0
26.051361,37.5
16.858723,18.0
12.779567,15.0
14.157343,11.916666666666664
19.635384,30.0
24.650434,10.0
19.134613,28.0
8.057999,8.0
20.444601,22.0
31.922478,27.0
16.55098,21.0
20.068874,30.0
14.432734,13.0
13.932096,8.0
38.074287,40.0
30.450436,53.33333333333334
15.936025,14.083333333333336
27.929165,26.0
17.588173,22.0
20.401161,23.33333333333333
14.076427,10.0
24.56912,30.0
19.672066,37.91666666666666
14.358754,10.833333333333336
12.891729,15.0
26.190289,43.75
20.65029,20.0
7.447254,9.0
19.547333,23.0
10.81139,13.0
31.64474,30.0
16.052607,14.083333333333336
29.787195,35.0
18.74837,15.0
35.571392,40.0
12.223944,13.0
17.407341,20.0
31.485817,29.16666666666667
10.254361,11.916666666666664
