训练集loss,测试集loss
937.9715320362765,339.7637634277344
389.12496544333067,305.1711917453342
378.81754302978516,292.66939968532984
365.41141554888554,279.87704128689234
347.44847241569965,262.433347913954
316.61326599121094,236.7352786593967
288.24808547076054,272.33970811631946
300.89203509162456,213.1300303141276
243.0594684376436,182.89874098036023
224.05556095347686,187.16480170355902
228.10149742575254,165.36496777004666
217.8765106201172,185.40123833550348
233.2163070229923,284.8077155219184
229.6586451810949,646.6722242567274
257.81316667444565,178.04444715711804
200.3988914489746,155.98575846354166
219.52452603508445,190.99075826009116
232.65587750603171,161.79346889919705
185.73153024561265,202.5181850857205
194.88648358513328,176.22788747151694
199.72308820836685,224.5785403781467
189.97810947193818,295.74264187282984
177.31596913057214,169.28861829969617
218.11189853443818,139.80219395955405
170.00194594439338,150.20527818467883
171.10580825805664,140.2115512424045
178.58114489387063,166.06509908040366
172.87671380884507,232.5157962375217
185.23854603486902,169.67593468560113
207.5406561458812,174.4665756225586
165.26311582677505,180.49599372016058
192.37052872601677,157.81699964735242
173.81415512982537,135.3514790005154
177.58388878317442,166.09513685438367
194.71136990715476,357.2654554578993
186.34873334099265,229.6020796034071
200.12185175278609,135.760013156467
166.97474984561697,134.6876475016276
164.6459342732149,138.77538045247397
167.98309595444624,197.2147979736328
199.91592743817498,189.73931884765625
179.46023447373335,158.76114230685764
181.1662321651683,164.4226837158203
213.70002477309282,140.68216620551215
179.88696165645823,155.76861911349826
166.48414454740637,160.61441209581164
163.82504115385169,239.8668441772461
203.9797045763801,187.9532038370768
168.61282999375288,140.80964957343207
161.69167709350586,157.77544996473523
209.3510082469267,147.14061779446072
162.68737209544463,216.5624067518446
161.5602881487678,131.29296832614475
157.97373693129595,147.85152604844836
155.70947804170495,139.95266893174914
168.71242455875174,146.9940643310547
167.9259704141056,130.1759821573893
191.8583252850701,178.2731458875868
169.1218131570255,170.42738172743054
157.06822092392866,173.38913302951389
166.21987645766313,304.5125257703993
204.30536606732537,134.77753024631076
161.39037502513213,197.4653116861979
179.11954543169807,131.69871944851346
154.79461894315833,137.42741605970593
167.2408036624684,155.38455115424262
153.68928415635054,282.61332533094617
173.06327572990867,135.48206668429904
176.31259312349206,148.0112999810113
165.29743867761948,130.6065241495768
156.7062510322122,135.31910112169055
155.21014875524185,154.0472674899631
149.03272168776567,148.12454393174914
154.8986307031968,163.78008524576822
174.64192603616152,147.68507978651257
165.06536966211655,143.9705547756619
151.34424546185662,135.26436445448132
150.35243180218865,132.36855994330512
168.05764860265396,134.7044940524631
159.71585015689627,129.3673472934299
188.67851077809053,158.62017483181424
157.85710772346047,131.56402036878796
156.47013316434973,135.7323489718967
163.97585453706628,176.79090203179254
168.16951325360466,157.58209991455078
157.7922177034266,131.78087955050998
171.50343805200913,144.66798824734158
150.7259063720703,131.85507456461588
175.23524452658262,141.6350915696886
157.64629341574278,144.3420884874132
160.01468299416933,137.6848932902018
163.32620329015396,138.42927975124783
163.27738750682158,131.84091440836588
202.95001781688018,267.0815158420139
214.48897743225098,132.92590713500977
164.1471088633818,132.14999432033963
175.0089012594784,128.6514434814453
162.69006100822898,129.81055874294705
159.14353000416475,144.96715884738498
157.99262989268584,131.8873553805881
149.56782038071577,134.26515282524957
152.44731992833755,154.9563971625434
154.35697230170754,141.43717278374567
162.8876360724954,362.39901055230035
186.32489956126494,136.27618069118924
165.1933183109059,130.15253278944226
156.5961866939769,141.65720791286893
155.02980613708496,130.1355938381619
146.96921371011172,159.29696316189236
168.24457886639763,283.25655449761285
221.00700041827034,166.81544664171008
177.2050453634823,132.30633036295572
162.43853647568648,136.48190053304037
154.91940711526308,138.1783192952474
154.28638076782227,177.89157952202692
153.8153195100672,142.91138543023004
157.87356455185835,180.50720893012152
155.12399090037627,136.26609378390842
151.08312068266028,161.27147081163196
156.66335184433882,167.74090660942926
153.19001556845274,132.26588016086154
147.5619918598848,205.64633009168836
167.1160561056698,133.998413933648
148.5508207433364,139.6255586412218
151.81613069422104,175.29171752929688
176.9891768062816,231.99208323160806
166.65153099508848,137.34132809109158
155.63797165365781,162.22547743055554
150.99801119636086,143.43487548828125
158.95819865956025,134.13692643907336
153.28736103282256,131.67582278781467
172.78614908106186,165.5939008924696
158.39036133710076,145.86985185411243
159.86265014199648,143.03802998860678
154.26669580796187,132.77901119656033
160.80195236206055,138.24266221788196
149.03605449900908,136.21383878919812
150.72855736227598,153.62867821587457
148.02848883236155,132.35076014200845
168.60487208646887,155.68208652072482
177.28907214894014,176.83026462131076
153.11551105274873,193.4385528564453
166.4669263503131,157.7763680352105
157.19406554278206,128.91253492567273
149.26076260735007,136.4396709865994
144.59542375452378,132.57235209147134
145.141534132116,133.71095954047308
149.04764343710508,154.27847290039062
164.4197499892291,129.8025139702691
161.1610262253705,143.21372901068793
149.80983823888442,175.99630482991537
176.12649872723748,164.19219631618924
164.14456490909353,132.8937085469564
148.8912099950454,140.935546875
151.64862531774185,134.2538333468967
145.0699779286104,134.243167453342
150.0677947998047,138.01349300808377
158.173661849078,135.21792517768012
151.10815317490523,135.5829789903429
146.2478924919577,147.241391075982
151.06311820535097,134.617672390408
160.51215025957893,127.92097176445856
174.52324743831858,145.883172776964
161.11965112125174,199.9643758138021
169.67977097455193,161.47131517198352
150.26923976225012,131.47811550564236
162.8735809326172,196.9956546359592
152.9093735638787,130.60211902194553
148.91779798619888,130.74899291992188
151.34622327019187,146.03133646647134
163.788891063017,144.65513610839844
167.4176041098202,221.73204294840494
189.97738333309397,131.51592339409723
160.14831610286936,140.38485717773438
143.76251175824333,140.31799528333875
150.54560717414407,135.72467719184027
154.57291726505056,132.65583970811633
156.33931350708008,135.00215827094183
156.78233932046328,137.6802775065104
164.3737303789924,147.18448299831815
162.486151526956,137.733519660102
152.56389752556296,162.4746593899197
162.8066480300006,153.12376234266492
152.66340569888845,146.36499955919055
165.28259097828584,187.42628648546008
167.26157558665557,163.7558848063151
166.1524866889505,134.53751203748914
156.20655059814453,131.6965094672309
161.03731088077322,155.49353790283203
177.2734354804544,165.1142052544488
153.75425047032974,132.327389187283
154.88495276955996,133.10537804497613
146.21413847979377,187.93836636013455
159.82193756103516,141.06016752454968
164.36398494944854,205.28589036729602
167.17275619506836,130.61951107449002
149.68402447420007,132.13488091362848
146.32235055811265,135.38844468858508
163.80370465446921,135.57869890001086
153.62159482170554,140.15988413492838
151.31853103637695,209.1069861518012
