rfr预测值,rfr真实值
10.007555341406334,8.666666666666666
16.076621901484547,15.0
11.511168851044632,5.0
12.326511192867754,14.0
10.961826162449087,6.0
19.587813557652833,15.0
17.58170217126352,15.0
27.954559707276612,15.0
20.00656231450447,37.5
18.82323939840215,14.0
15.225556315415057,12.0
10.996671091700732,13.0
10.819281969748625,7.0
18.778648614540053,31.25
23.783570445943266,24.5
10.77709819535159,14.0
20.335129394712844,25.0
14.76572487846642,10.0
12.907561015828481,7.5
9.570380083778879,7.0
11.370561686151099,12.0
15.573422984149987,15.0
12.333336431524238,8.0
12.260793696481501,15.0
12.277131921051183,8.0
22.207149094574735,26.66666666666667
13.146559144614343,25.0
10.689269319689503,7.0
18.344171096718707,15.166666666666664
11.117183416894209,8.0
14.948507065415274,11.0
9.619917120815916,10.0
11.74541548732069,20.0
10.77709819535159,14.0
12.554019312623643,14.083333333333336
10.600941152981916,11.666666666666664
10.94267873650376,10.0
18.33932157277717,15.0
12.554019312623643,20.0
12.260793696481501,15.0
10.94267873650376,15.0
19.175867550787782,10.833333333333336
10.873274324945596,8.0
20.027615630030542,28.33333333333333
10.961826162449087,15.0
10.94267873650376,8.0
10.89911444236784,7.0
10.996671091700732,10.0
18.984306083692964,25.0
9.508167930599239,17.5
12.592581865148865,12.0
10.892619511836166,10.0
10.892619511836166,8.0
10.886618998589158,11.666666666666664
18.33932157277717,16.25
12.554019312623643,16.25
12.277131921051183,6.0
10.94267873650376,13.0
15.573422984149987,11.0
18.053517385597708,18.666666666666668
14.036161192402774,15.0
20.45618444129676,15.0
8.986465169578418,6.0
11.66206176316144,5.0
16.63127542706098,14.083333333333336
11.28510962653715,11.0
16.10250639419533,17.5
10.94267873650376,16.25
12.326511192867754,15.0
10.94661186703314,8.0
12.554019312623643,13.0
12.326511192867754,8.0
20.554018949605332,15.0
10.600941152981916,10.0
13.72714668247974,12.0
20.994910019056363,19.5
12.592581865148865,11.0
22.716386760069252,14.166666666666664
9.619917120815916,7.0
13.146559144614343,10.0
10.600941152981916,11.0
11.265653582558787,9.0
11.551499820475081,15.0
14.957663772830806,13.0
12.260793696481501,11.666666666666664
14.115295908387527,13.0
12.277131921051183,7.0
12.326511192867754,10.0
16.076621901484547,14.083333333333336
15.549648218926162,11.0
11.578924950451585,5.0
12.554019312623643,11.666666666666664
12.592581865148865,20.0
19.582584096462266,31.25
13.146559144614343,13.0
16.10250639419533,18.416666666666668
12.554019312623643,17.5
23.346323101033256,15.0
18.374169853570343,23.0
17.868865822088082,13.0
17.20494914233494,25.0
8.490960286231859,10.0
12.046975797532555,16.25
10.94661186703314,7.583333333333332
24.962517712450204,26.66666666666667
12.260793696481501,10.0
21.73761254584197,20.0
22.305926042566323,40.0
12.260793696481501,11.666666666666664
10.89911444236784,10.0
16.0534747396869,37.5
13.76924432979953,6.5
16.241930968052973,16.0
12.168619312913139,7.0
32.25133189525233,16.25
12.554019312623643,13.0
13.146559144614343,18.0
12.326511192867754,13.0
38.63366725021459,28.0
15.549648218926162,13.0
11.791459625387482,15.0
12.37902992051041,9.75
18.690865286850613,17.5
17.01747926176424,10.0
15.916228328832753,20.0
11.791459625387482,13.0
17.672724407946667,12.0
22.207149094574735,19.5
13.766370504744055,14.0
10.996671091700732,13.0
21.73761254584197,12.0
17.672724407946667,12.0
8.341975724832729,13.0
25.747388398003956,35.0
20.640790976337467,12.0
12.667406781497249,15.0
12.592581865148865,18.666666666666668
12.907561015828481,20.0
10.94267873650376,11.0
10.94267873650376,11.0
11.721953164770122,11.0
22.207149094574735,18.75
15.91511675997907,15.0
10.668414773358256,10.0
10.94267873650376,8.0
12.277131921051183,5.0
22.2642750816808,33.333333333333336
13.036274624377253,12.0
13.146559144614343,8.0
18.33932157277717,11.0
10.600941152981916,10.0
12.554019312623643,14.083333333333336
12.333336431524238,8.0
12.260793696481501,8.0
18.053517385597708,20.0
16.406351384412144,26.66666666666667
13.72714668247974,15.0
18.377890213571778,13.0
13.036274624377253,10.0
11.945388811929666,3.0
21.78528595238466,26.66666666666667
13.413476007217588,9.75
12.260793696481501,15.0
19.97656355765283,15.0
11.302434722061756,12.0
10.77709819535159,13.0
14.22933216092434,21.66666666666667
22.2642750816808,30.0
10.996671091700732,8.0
12.592581865148865,21.66666666666667
12.277131921051183,10.833333333333336
13.822353463875793,6.0
10.94267873650376,11.0
12.260793696481501,9.75
12.913634372122996,15.0
12.441357335400943,6.0
20.00656231450447,26.66666666666667
13.13253948508595,13.0
10.796939029696384,9.0
12.554019312623643,10.0
12.837414847780536,16.25
15.856594563744926,20.0
11.17665394475399,21.66666666666667
12.907561015828481,5.0
13.146559144614343,26.66666666666667
12.260793696481501,10.0
10.029722629422052,4.0
12.907561015828481,40.0
12.441357335400943,17.5
18.344171096718707,31.25
10.600941152981916,9.0
12.260793696481501,8.0
31.269036115700334,20.0
13.930139202585963,14.083333333333336
10.600941152981916,6.5
7.692442379832006,7.583333333333332
10.193745273444698,5.0
10.9989471928653,8.0
12.907561015828481,15.0
8.682172741097078,7.0
10.689269319689503,10.0
16.48206673890193,17.5
19.97656355765283,20.0
13.76924432979953,12.5
24.962517712450204,26.66666666666667
12.260793696481501,13.0
16.245906526909426,22.66666666666667
8.490960286231859,7.0
18.374169853570343,25.0
10.621295463480351,8.0
13.307706067906594,12.0
6.7996639290519045,6.0
12.923612647154552,18.75
10.89911444236784,10.833333333333336
12.817530955431407,16.25
10.077370156221148,5.416666666666668
15.612318891751864,16.25
12.441357335400943,30.33333333333333
13.146559144614343,8.0
12.554019312623643,13.0
6.965773418946958,9.0
22.775462591299085,25.0
10.77709819535159,10.0
12.260793696481501,33.333333333333336
10.600941152981916,6.0
21.984479797971538,32.5
12.333336431524238,15.0
16.624045905568597,15.0
16.241930968052973,8.0
16.164231614178952,20.0
10.600941152981916,9.0
18.374169853570343,8.0
16.245906526909426,18.0
12.907561015828481,12.0
10.94267873650376,13.0
9.49698137197459,10.0
10.600941152981916,9.0
12.592581865148865,11.0
12.260793696481501,7.0
15.95298332885659,12.0
20.8647493096708,12.0
6.7996639290519045,9.75
10.819281969748625,9.75
12.164469943828482,6.0
16.51957794554508,13.0
19.422409165068473,18.75
15.866346182202824,11.0
18.33932157277717,25.0
8.341975724832729,11.0
18.198918030778234,16.25
22.3818728566014,15.0
12.554019312623643,17.5
18.053517385597708,35.0
25.87563676107688,40.0
8.581344131592862,8.0
10.94267873650376,13.0
21.78528595238466,26.66666666666667
8.566167450091788,11.0
10.819281969748625,7.0
13.76924432979953,12.833333333333336
6.9723155645408275,9.0
14.036161192402774,15.0
13.146559144614343,16.25
13.412618272807514,8.0
8.566167450091788,4.0
15.549648218926162,11.0
12.554019312623643,23.33333333333333
20.8589510862081,13.0
9.93869698839641,10.0
15.573422984149987,28.0
32.53123616991866,13.0
28.36537243474386,40.0
11.94654017580661,10.833333333333336
12.554019312623643,13.0
12.441357335400943,12.833333333333336
11.265653582558787,25.0
8.397299798906802,7.583333333333332
22.720771505972756,10.0
15.866346182202824,11.0
12.592581865148865,14.083333333333336
12.333336431524238,6.0
16.072714709978655,26.66666666666667
10.77709819535159,20.0
11.958662864464886,10.0
12.907561015828481,17.5
16.03102802861947,15.0
19.21390924079163,15.0
16.245906526909426,15.0
46.659864969868444,25.0
18.374169853570343,25.0
15.704298243863663,8.0
30.86392077038095,9.0
11.361817411287571,8.0
15.95298332885659,29.16666666666667
13.146559144614343,15.0
12.907561015828481,15.0
10.530376700320183,10.833333333333336
9.051656631592863,8.0
12.451572655553147,6.5
15.276575206859148,15.0
