rfr预测值,rfr真实值
14.65969498015225,14.083333333333336
22.734301287700255,20.0
20.257499980666367,10.0
21.273763460475443,21.0
17.553501055820156,11.0
36.74669533353629,25.0
23.224841668529464,25.0
38.462104067678105,20.0
38.57475427472556,75.0
36.39171575298666,21.0
20.039507023792382,20.0
15.915952848752493,18.0
16.115751524654808,12.0
25.450935563297637,50.0
43.808321928481924,46.66666666666666
15.941359756022091,25.66666666666667
36.71085591612788,50.0
25.56996973092647,15.0
24.757861828097173,13.75
13.558463381434837,12.0
18.937847144287677,23.0
24.581800449715296,18.0
20.45213288070416,13.0
20.29492777401749,20.0
19.613292761333064,11.0
41.09580552322403,53.33333333333334
24.453524882017806,50.0
15.811380414833431,12.0
39.76420370294648,27.08333333333333
18.285555253486383,13.0
26.356590101296838,17.0
13.522282895254351,15.0
20.06785740965287,40.0
15.969778960914828,22.0
21.47199809621008,19.5
15.941359756022091,17.5
16.117747175760528,14.0
34.864622678358096,20.0
21.84474987762268,40.0
20.29492777401749,18.0
16.031684797592888,20.0
38.18079266199412,13.0
16.115751524654808,12.0
37.409398691816335,56.66666666666666
17.553501055820156,30.0
16.117747175760528,13.0
15.792150606941663,12.833333333333336
16.031684797592888,15.0
34.224010082408405,50.0
14.233425721825334,23.33333333333333
21.94492591505672,20.0
16.115751524654808,12.0
16.115751524654808,10.0
17.553501055820156,16.333333333333332
34.864622678358096,27.08333333333333
21.47199809621008,32.5
19.695278149087684,10.0
16.031684797592888,18.0
24.581800449715296,13.0
34.04655859000691,35.0
30.382751544771377,30.0
23.484327561901516,20.0
14.244719110726471,10.0
22.29605049737574,7.0
26.257681642100355,21.66666666666667
18.326078025147773,16.0
24.655901683251155,29.16666666666667
16.031684797592888,21.66666666666667
21.273763460475443,20.0
16.675402167738977,13.0
21.47199809621008,17.333333333333332
21.355748848230064,13.0
31.30963897774823,20.0
15.941359756022091,20.0
18.614577810708813,20.0
35.330863847966725,32.5
21.94492591505672,16.0
44.8244943554709,21.25
13.522282895254351,10.0
24.453524882017806,15.0
15.792150606941663,13.0
17.52095115326026,14.0
17.71023175260979,18.0
24.20715253340711,26.0
20.021721575377764,16.333333333333332
26.007258881904804,20.0
19.613292761333064,12.0
21.273763460475443,15.0
22.734301287700255,18.416666666666668
22.440499544780867,17.0
20.735424290211267,10.0
21.47199809621008,17.5
22.02691130281134,40.0
32.776776438176576,62.5
24.453524882017806,18.0
24.655901683251155,21.66666666666667
21.47199809621008,25.66666666666667
32.21725803743916,25.0
40.234512615245805,45.0
33.157983632961624,17.333333333333332
34.411517183141164,50.0
12.987466335281953,15.0
20.631127616062066,21.66666666666667
16.115751524654808,13.0
44.8244943554709,53.33333333333334
20.021721575377764,12.0
38.42306227173792,30.0
39.51247980367665,66.66666666666667
20.021721575377764,16.333333333333332
15.792150606941663,15.0
29.58286785796762,75.0
29.41910489058646,10.833333333333336
30.88086246734308,24.0
20.22352910702143,12.0
50.61611121816134,27.08333333333333
21.5539834839647,19.5
24.453524882017806,28.0
