adam预测值,adam真实值
28.366844177246094,37.5
13.972493171691895,9.75
11.097187995910645,10.833333015441895
10.861820220947266,8.0
10.33301067352295,5.0
10.33301067352295,9.0
16.355247497558594,16.25
10.33301067352295,9.0
17.56308937072754,15.0
15.285273551940918,8.0
10.33301067352295,7.0
26.71639633178711,45.0
14.83230972290039,10.833333015441895
10.33301067352295,11.0
21.197505950927734,20.0
17.671768188476562,25.0
14.1550931930542,10.0
10.33301067352295,12.0
11.79332160949707,17.5
10.33301067352295,10.0
17.21405029296875,13.0
11.603311538696289,11.0
17.252548217773438,17.5
26.84988784790039,30.0
10.33301067352295,7.583333492279053
29.875019073486328,25.0
10.33301067352295,9.333333015441895
23.816978454589844,26.66666603088379
12.44332504272461,15.0
21.202014923095703,20.0
10.33301067352295,8.0
11.776357650756836,10.0
17.863460540771484,17.0
24.968381881713867,18.75
13.349250793457031,8.0
22.114025115966797,13.0
17.771484375,13.0
20.925350189208984,15.0
14.200411796569824,8.0
22.1612548828125,23.33333396911621
10.33301067352295,16.0
32.53293228149414,30.33333396911621
13.373239517211914,10.0
20.980125427246094,16.25
18.874744415283203,15.0
22.711193084716797,11.916666984558105
13.896594047546387,8.0
11.879509925842285,6.5
22.417369842529297,13.0
21.70972442626953,15.0
14.059854507446289,10.0
10.502168655395508,8.0
21.44066047668457,17.5
10.33301067352295,8.0
10.33301067352295,9.75
23.980026245117188,15.0
24.95400619506836,14.0
10.33301067352295,9.0
10.33301067352295,12.0
20.799785614013672,10.0
15.165594100952148,15.0
21.630329132080078,21.66666603088379
10.33301067352295,8.0
10.33301067352295,10.0
11.172802925109863,10.0
11.542200088500977,10.0
10.33301067352295,6.0
14.381223678588867,10.833333015441895
12.391461372375488,25.0
8.527975082397461,8.0
16.574970245361328,17.5
22.451452255249023,15.0
14.466768264770508,13.0
14.631571769714355,20.0
25.314327239990234,23.33333396911621
11.383748054504395,10.0
24.642690658569336,25.0
14.628552436828613,5.416666507720947
16.22396469116211,9.0
14.097161293029785,18.75
22.369728088378906,2.6666667461395264
15.572242736816406,7.0
10.33301067352295,8.0
10.33301067352295,7.0
10.33301067352295,7.0
9.436515808105469,9.75
11.06102466583252,6.5
10.33301067352295,8.666666984558105
13.691436767578125,4.0
10.33301067352295,10.0
15.780267715454102,10.0
27.396228790283203,29.16666603088379
10.33301067352295,5.0
26.734588623046875,16.25
36.10429763793945,25.0
10.33301067352295,3.0
29.3133544921875,35.0
10.735061645507812,7.0
10.33301067352295,5.416666507720947
15.371485710144043,15.0
33.193931579589844,40.0
16.189697265625,20.0
15.283699035644531,11.916666984558105
21.503801345825195,13.0
26.822147369384766,27.08333396911621
15.493075370788574,12.0
28.758651733398438,17.5
31.198436737060547,60.0
10.33301067352295,10.833333015441895
12.874811172485352,4.0
29.914661407470703,29.33333396911621
10.33301067352295,7.583333492279053
13.03367805480957,10.0
10.33301067352295,7.0
17.32537078857422,10.0
20.134458541870117,15.0
15.4772367477417,12.0
27.952308654785156,15.0
10.33301067352295,10.833333015441895
16.22577476501465,11.0
10.33301067352295,5.416666507720947
26.131141662597656,8.0
10.33301067352295,10.0
23.324066162109375,25.0
20.331222534179688,11.0
10.33301067352295,9.0
10.33301067352295,8.0
10.33301067352295,5.0
26.771217346191406,21.66666603088379
19.669044494628906,8.666666984558105
12.232927322387695,16.0
11.42039680480957,15.0
28.451915740966797,17.5
18.708322525024414,4.0
17.79610252380371,15.0
21.559350967407227,21.66666603088379
10.926176071166992,16.25
10.77176284790039,12.0
10.33301067352295,9.0
11.983796119689941,13.0
10.33301067352295,7.0
18.693777084350586,15.0
10.33301067352295,1.0
16.069927215576172,16.25
14.220848083496094,17.5
28.112411499023438,26.66666603088379
21.278236389160156,17.5
17.177709579467773,12.0
22.31853675842285,16.25
10.33301067352295,10.833333015441895
21.29990005493164,11.916666984558105
17.65481185913086,15.0
15.3721923828125,12.0
17.183082580566406,17.5
