训练集loss,测试集loss
25308.611838845645,286.70726182725696
358.5658318014706,273.7032165527344
352.3997542437385,281.930419921875
332.36654169419234,262.466076321072
320.36390282126035,260.97135586208765
311.8029049144072,295.10511779785156
312.75648902444277,252.08210245768228
322.29538278018725,294.42684088812933
362.0969462675207,258.0813513861762
314.78439196418316,1097.8561333550347
344.7699441348805,381.91634453667535
299.4310776205624,202.7182150946723
332.5047086827895,290.05589294433594
305.25774742575254,222.34494272867838
267.6417344037224,404.09351603190106
556.4515439201804,261.730968899197
323.03596720975986,524.5919528537327
353.3801233628217,373.37904188368054
309.20780226763554,445.8983900282118
307.59078351189106,218.71222517225476
322.8827599918141,254.24766370985242
330.6769265567555,214.63516659206815
323.98547812069165,376.86468675401477
293.0651774686926,238.19243791368274
406.4970110724954,586.2764858669705
313.2101382087259,197.32935587565103
272.7208817425896,186.93410068088107
281.93133410285503,341.23076714409723
431.1049885469324,609.3777567545573
632.5334970810834,205.3558815850152
922.6596390219296,592.2550320095486
647.3126965691062,577.5403747558594
650.1852946561926,559.088392469618
1994.9181119133445,232.79971228705512
308.5478235132554,565.2733425564236
309.3113270927878,391.753655327691
289.74863187004536,291.14457533094617
301.83507807114546,854.4065144856771
345.9787826538086,241.90764363606772
270.58963887831743,203.56441328260632
336.9295079848346,241.3174065483941
335.8038024902344,283.7265387641059
265.6087938196519,306.70714484320746
300.1482391357422,222.96639675564236
295.4917476878447,199.2754135131836
301.18157824348003,312.8906555175781
259.40717495188994,199.03048790825738
295.95268630981445,954.219482421875
1115.7813989975873,521.1545138888889
848.8722184125115,513.1051262749565
569.1428294462316,501.27132839626734
1215.2707290649414,252.04389105902777
325.28115530575025,232.1017566257053
291.03902996287627,206.71586524115668
258.4643218096565,233.81357659233942
231.33323759191177,203.8154797024197
233.21127970078413,384.1836412217882
271.20778566248276,221.82551744249133
277.4522644491757,282.58089531792535
2463.650904935949,180.6332278781467
245.17904775282915,181.5397228664822
237.14087811638328,186.49588521321616
221.48601711497588,172.0146018134223
223.10692596435547,178.79281107584634
222.50302460614373,297.05337693956164
216.72689572502586,170.1988843282064
214.28517195757698,219.17128329806857
233.12370524686926,261.34706030951605
218.7584785012638,165.6071671379937
227.93573626349954,332.265625
228.6979035770192,201.0940416124132
268.5012550354004,464.03110758463544
248.27233034021714,167.73432879977756
226.1062868903665,165.8879288567437
240.03628001493567,359.61067877875433
245.36469941980698,208.61622026231555
228.15477752685547,200.69502766927084
232.48400991103227,349.6037190755208
248.64228394452263,202.49410417344836
224.27142423741958,317.0745035807292
246.29591594022864,174.15541076660156
283.2515640258789,454.4842122395833
1085.9272335276885,409.68341742621527
338.2970044753131,190.1457722981771
216.45208325105554,184.02825588650174
229.86240947947783,442.34824625651044
241.77563499001894,210.5423838297526
218.72621581133674,181.4093712700738
218.57741142721738,183.48883565266928
211.80701166040757,253.78893534342447
227.54799046235925,1234.9627549913193
332.5927821888643,512.030748155382
250.77197018791648,174.04761505126953
241.48342491598692,4352.592827690973
416.91274755141313,170.24647013346353
216.09745900771196,1136.2019721137153
265.95005285038667,178.13332790798611
569.6039897694308,417.6352810329861
412.8451744528378,184.20042588975696
230.09048551671646,210.47471788194446
224.353733735926,181.05526055230035
364.28382200353286,189.06377919514975
219.79122016009163,195.16101921929254
219.56108474731445,176.91192796495227
214.19100430432488,245.14080641004773
232.16883132036995,180.39138878716363
218.6749247382669,319.86102803548175
232.79067454618567,267.50606960720484
225.05536045747644,185.5295147365994
233.8244702956256,301.8541446261936
236.7074800379136,172.33531019422742
228.3063715766458,171.02172342936197
861.0261342665729,412.8655361599392
591.9269413667566,396.4940117730035
281.0025628033806,175.4408187866211
218.35925584680894,164.8626183403863
219.77355867273667,181.1207792494032
231.8585433959961,167.03360663519965
224.48302437277403,158.25608910454645
218.88428429996267,196.29931640625
217.15639271455652,405.4037441677517
222.9078815684599,227.22975158691406
201.92576890833237,167.7224180433485
219.95348986457375,170.15593804253473
209.3815751917222,299.0816463894314
811.2411079406738,185.78289540608725
581.5488599889419,162.0133090549045
193.02459447524126,156.18732367621527
204.0285478479722,228.64252217610678
196.11102384679458,166.69981299506293
180.3379747727338,152.75362904866537
184.30923349717085,174.12759568956164
204.73851843441233,154.75698513454861
193.13501739501953,211.50482516818576
212.8505677615895,256.13176896837024
207.23129653930664,165.50229856703015
205.087303610409,278.0404968261719
214.43426423914292,209.7871568467882
197.23263976153206,190.36624654134116
188.86087013693418,199.77645365397134
205.22688428093406,166.47032758924695
203.06106432746438,301.93260871039496
210.13968837962432,182.71143086751303
199.45422251084273,165.6130142211914
231.43713513542625,219.97186279296875
192.21484756469727,161.92715877956815
215.45228082993452,166.43025885687933
212.1571320926442,159.34595998128256
194.41359643375174,274.0176764594184
192.3208351135254,238.85409545898438
206.95682794907515,145.95218743218317
202.34291076660156,147.27915064493814
202.68634302475874,150.20523579915366
185.33362579345703,314.1914469401042
229.39348669613108,179.99241214328342
190.7394703135771,156.24767303466797
193.1943453620462,148.33700900607639
203.8991896685432,201.2678468492296
274.85154185575595,300.39501614040796
215.7001127355239,148.4803237915039
176.78965602201575,159.6327107747396
211.11343720379998,161.47483147515192
198.2317787619198,187.2416508992513
186.92007019940544,297.0923309326172
218.67372602574966,456.80052693684894
207.67063836490408,173.76915656195746
206.38224747601677,158.8909479777018
183.01248931884766,149.13139470418295
211.61147936652688,152.22249348958334
189.1622709386489,169.6645016140408
199.87317522834329,195.64168463812933
187.87458868587717,280.8356747097439
213.28351862290327,206.4339345296224
169.10577011108398,168.96890258789062
212.69256995705996,220.0888917711046
186.46056029375862,146.94500266181097
189.6939557019402,144.7613067626953
198.40032128726736,556.516855875651
396.9502935970531,151.70400153266058
188.6064412734088,139.80022769504123
646.971204477198,351.5485195583767
409.1535779167624,341.7024959988064
385.7224343243767,334.90057542588977
382.29784707462085,326.1278245713976
368.06820947983687,316.4489915635851
343.6037375506233,313.13453165690106
354.9422742058249,298.86656867133246
304.67760781680835,262.5949215359158
229.78679365270278,253.42749447292752
224.58769719740923,290.50215488009985
216.25024795532227,194.4854482014974
216.36676249784583,167.81540001763238
231.4548241110409,1003.859117296007
257.9055737888112,218.6343748304579
184.338986677282,150.89606857299805
200.32001517800722,225.05022430419922
225.74793445362764,1088.2914293077256
732.4510340971106,167.5501954820421
187.09820556640625,157.42357465955945
195.94459679547478,13334.375325520834
701.0175969740924,305.9507768419054
360.46297050924863,294.88931613498266
432.01207239487593,294.0174340142144
535.6681912366082,203.9373253716363
249.0015501134536,197.08450741238065
241.18080610387466,194.26676432291666
234.08112941068762,203.74851311577692
250.24146943933823,246.09869808620877
210.5141554439769,175.91865963406033
250.10822902006262,278.1631317138672
254.2829803018009,249.30829620361328
219.11230895098518,193.46072726779514
207.05887379365808,190.70670996771918
207.8622932434082,231.41221872965494
199.34327922147864,159.3294431898329
246.83017708273496,207.47132195366754
203.87074291004853,174.66561550564236
217.7287364286535,797.463134765625
225.63353527293486,208.59551747639975
203.98660816865808,164.1664250691732
197.2009008071002,376.7089097764757
191.07960779526655,168.07423655192056
178.49481964111328,166.95963287353516
181.68499329510857,199.6298573811849
311.4259789410759,277.3405287000868
323.91429542092715,270.10096062554254
303.8280045004452,214.6676525539822
296.7571732016171,247.69735378689236
250.25846010095933,190.68406846788196
178.44409112369314,160.10286882188586
180.86600718778723,213.39153289794922
191.80750095143037,146.48799641927084
182.18462865492876,225.20054456922742
190.86268582063562,163.2323744032118
191.03037980023552,200.5925521850586
177.06188246783088,169.78719923231336
171.58764468922334,143.00402323404947
184.18548062268425,161.32505459255643
174.80835207770852,217.42376708984375
198.6271719091079,249.09596252441406
212.75304726993338,144.8958511352539
169.24055839987363,181.85698954264322
188.08107174144072,199.22413635253906
177.70603426764993,147.5262417263455
191.76023236443015,577.1417541503906
203.55943186142866,1849.7105577256943
249.72846423878389,169.0111050075955
157.0892531451057,147.06956651475696
167.56325127096738,158.501580980089
172.79781386431526,156.20714230007596
182.71618225995232,145.7634997897678
157.29416678933535,140.06098090277777
188.491319880766,2616.68115234375
624.146125793457,165.08789359198676
161.863603367525,152.0487577650282
159.43296482983757,154.18377770317926
160.64834617165957,141.94267188178168
174.6209851433249,190.38441297743054
163.41817098505356,171.66184997558594
187.21873878030215,161.15874735514322
164.91042714960435,167.21886528862848
175.13958291446463,142.05701785617404
177.0813751220703,135.81106228298611
179.36855091768152,149.15985870361328
176.4980847975787,134.86571333143445
163.25501520493452,151.22100745307074
178.56550530826345,134.93768819173178
189.41529745214126,137.4364047580295
176.54572565415327,179.14486609564887
198.90625112196977,196.51039123535156
189.17775008257698,152.90590243869357
298.24523499432735,250.00722927517361
212.5513038635254,139.00524224175348
159.69520568847656,250.63701968722873
195.6264513801126,193.50525665283203
167.37327104456284,298.5709533691406
176.07295159732595,155.325074089898
176.47169472189512,145.4164521959093
162.6474977381089,190.10163370768228
178.00028385835535,157.7861039903429
180.40060705297134,187.63023630777994
170.11998816097483,217.9635476006402
183.38778708962832,154.5678651597765
175.6326001111199,152.11502838134766
165.370958552641,133.7298092312283
186.7319470573874,136.8176795111762
172.65700014899758,141.71331363254123
198.68610606474036,140.4345703125
180.39604052375344,372.14613342285156
199.7890147040872,197.87825520833334
182.2483029085047,149.53785027398004
163.1919606152703,147.0097270541721
192.6392739239861,608.3282572428385
196.89599250344668,147.13604142930774
157.72392856373506,153.76451449924045
172.19184269624597,210.3450681898329
171.89128090353574,199.9860365125868
179.18616350959329,182.1018057929145
185.43351768044863,217.8497051662869
